entite_acheteur,domaine_d_achat,type_de_prestation,objet_de_la_consultation,estimation_des_depenses_en_eur_h_t_montant_total_de_l_operation_ou_montant_annuel_des_depenses_pour_,clause_insertion_un_ou_plusieurs_lots_de_la_consultation_le_cas_echeant,marche_s_reserve_s_un_ou_plusieurs_lots_de_la_consultation_le_cas_echeant,periode_previsionnelle_de_consultation,interlocuteur
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Prestations Intellectuelles,ZAC Porte de Tizé - MS n°4 Accord Cadre de MOE Urbaine - Dossier de Réalisation - CPAUPE - Mission Bas Carbone,Entre 40 K€ et 90 K€,,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Prestations Intellectuelles,Accord-Cadre Maîtrise d'oeuvre urbaine Le Blosne - Marché Subséquent  - ZAC Blosne-Est,Entre 90 K€ et 500 K€,,,2e trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Prestations Intellectuelles,Architecte Conseil Ville de Rennes,Entre 90 K€ et 500 K€,,,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Prestations Intellectuelles,RESEAU FOR / AMO Diagnostic pré-DSP - RESEAU FOR,,,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,ZAC Blosnes Est - Réalisation du sol béton de la halle multifonction,Entre 90 K€ et 500 K€,Non,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Prestations Intellectuelles,Quais de Vilaine - marché d'investigations complémentaires sous la dalle République - RENNES,Entre 90 K€ et 500 K€,Non,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Maîtrise d'œuvre,Berges Vilaine - CHAVAGNE,Entre 40 K€ et 90 K€,Non,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Rue Armand Rébillon - RENNES,Entre 500 K€ et 1 M€,Oui,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,"Eclairage public, signalisation lumieuse et divers travaux de création et d'aménagement (4 lots RM)",Entre 3 M€ et 5 M€,Non,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,"Eclairage public, signalisation lumieuse et divers travaux de création et d'aménagement (1 lot VDR)",Entre 1 M€ et 3 M€,Non,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Liaison REV - RENNES - BETTON,Entre 1 M€ et 3 M€,Oui,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Sécurisation carrefour  à feux Patton-Rochester - RENNES,Entre 1 M€ et 3 M€,Non,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Maîtrise d'œuvre,Rue Nationale - Réaménagement de la voie - LE RHEU,Entre 90 K€ et 500 K€,Non,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Raccordement des EU du réseau unitaire de Vezin à la STEP de Beaurade -RENNES,Entre 500 K€ et 1 M€,Non,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Aménagement abords URBEM - RENNES,Entre 90 K€ et 500 K€,Non,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,TRAMBUS-Ligne T2-Secteur Ouest Extra Rocade-Section 3 Marches-Rocade +terminus provisoire,Entre 3 M€ et 5 M€,Oui,,3ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Espaces verts, espaces naturels, environnement",Fournitures,fourniture et livraison de semence de gazon,Entre 40 K€ et 90 K€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Espaces verts, espaces naturels, environnement",Travaux,Centre horticole - réhabilitation d'un bassin de rétention d'eaux pluviales,Entre 90 K€ et 500 K€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Fournitures,Fourniture et livraison de matériaux pierreux,Entre 1 M€ et 3 M€,Non,Non,2ème trimestre 2026,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Services,Prestations topographiques - lot 1 Levés topographiques de surface,Entre 1 M€ et 3 M€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Informatique et télécommunications, audio-video",Technologies de l'Information et de la Communication,Plate-forme de coopération s'appuyant sur un jumeau numérique - prestations similaires,Entre 90 K€ et 500 K€,Non,Non,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Informatique et télécommunications, audio-video",Services,Fourniture de photos aériennes perspectives,Entre 90 K€ et 500 K€,Non,Non,1er trimestre 2026,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Informatique et télécommunications, audio-video",Technologies de l'Information et de la Communication,"Projet CityOrchestra : outils du projet (blog, newsletter, hébergement, gestion des contacts…)",<40 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Informatique et télécommunications, audio-video",Technologies de l'Information et de la Communication,"Projet CityOrchestra - Adaptation au changement climatique : design, développements et déploiement de fonctionnalités complémentaires au jumeau numérique de Rennes Métropole",Entre 90 K€ et 500 K€,,,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Habillement, vêtements de travail, E.P.I, textile",Services,Entretien et location-entretien de vêtements de travail pour divers services,Entre 90 K€ et 500 K€,,Structures du handicap,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Habillement, vêtements de travail, E.P.I, textile",Fournitures,Achat chaussures et bottes de travail pour divers services,Entre 90 K€ et 500 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Habillement, vêtements de travail, E.P.I, textile",Fournitures,Achat chaussures et bottes de travail pour divers services,,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Informatique et télécommunications, audio-video",Fournitures,"Achat, installation et mise en service de matériels audiovisuels pour les salles de réunion",Entre 90 K€ et 500 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Fournitures de bureau et administratives, courrier et affranchissement",Fournitures,ACHAT ET LIVRAISON DE FOURNITURES DE BUREAU,Entre 90 K€ et 500 K€,,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Alimentation, restauration",Fournitures,FOURNITURE DE VIANDES ET DE PRODUITS DE CHARCUTERIE,Entre 1 M€ et 3 M€,,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Alimentation, restauration",Fournitures,Fourniture de produits laitiers,Entre 1 M€ et 3 M€,,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Habillement, vêtements de travail, E.P.I, textile",Fournitures,Achat d'équipements de protection individuelle,Entre 90 K€ et 500 K€,,,1er trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Culture, animation, sports, loisirs",Maîtrise d'œuvre,Aménagements et agencements des pôles 3 et 5 de la bibliothèque,<40 K€,Non,Non,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Services,"MAINTENANCE  ET FOURNITURE DE VANNES DE MARQUE STARLINE POUR LES CIRCUIT ""EAU SURCHAUFFEE"", ""EAU INDUSTRIELLE"", ""EAU OSMOSEE"" & ""EAU ADOUCIE""",Entre 40 K€ et 90 K€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Services,"Filière Oxydation par voie humide (OVH) 
Elimination des technosables",Entre 90 K€ et 500 K€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Renouvellement membranes station d'épuration de Betton,Entre 1 M€ et 3 M€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Services,Renforcement aération de la station d'épuration de Bruz,Entre 90 K€ et 500 K€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Services,"Contrôle d'installations privatives d'assainissement non collectif
Marché global RM",<40 K€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Fournitures,Acquisition d'équipements de marque KSB,Entre 1 M€ et 3 M€,Non,Non,1er trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Fournitures,Acquisition de Rotors excentrés,Entre 500 K€ et 1 M€,Non,Non,1er trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Services,Travaux sur installations de marque MPR (Compresseur biogaz) l'Usine de traitement des boues par oxydation par voie humide,<40 K€,Non,Non,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Remplacement de la conduite de refoulement et des réseaux gravitaires des Gayeulles,Entre 1 M€ et 3 M€,Non,Non,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Réhabilitation du réseau Sud de Rennes à l'arrivée du refoulement de Chantepie,Entre 1 M€ et 3 M€,Non,Non,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Fournitures,Marché Founritures de sondes industrielles,Entre 1 M€ et 3 M€,Non,Non,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Fournitures,Fourniture de Nitrate de Calcium anti H2S (Hydrogène Sulfuré) et prestations associées,Entre 90 K€ et 500 K€,Non,Non,2ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,Travaux de remplacement de joint de chaussée_4,Entre 40 K€ et 90 K€,Non,Oui,2024-04-01 00:00:00,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Fournitures,"ENTRETIEN, FOURNITURE ET POSE DE GLISSIERES DE SÉCURITÉ ET DE DISPOSITIFS DE RETENUE METALLIQUES   PROGRAMME 2021-2025",Entre 500 K€ et 1 M€,Non,Oui,2024-08-01 00:00:00,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Technologies de l'Information et de la Communication,Mise en oeuvre _ renouvellement du PC de régulation du trafic_3,Entre 90 K€ et 500 K€,Non,Oui,2024-09-01 00:00:00,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Fournitures,"Fourniture de lanternes, de supports, d'armoires et d'appareillages pour l'éclairage public - Lots à définir
Support bi-sections
Supports fonctionnels octo-coniques
Supports fonctionnels octogonaux
Supports fonctionnels cintrés
Supports fonctionnels cylindro-coniques
Armoires
Coffrets
Appareillages ferro
Appareillages électroniques et drivers
Condensateurs",Entre 1 M€ et 3 M€,Non,Oui,2024-07-01 00:00:00,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Prestations Intellectuelles,inspection subaquatique pour les ouvrages d'art_5,Entre 90 K€ et 500 K€,Non,Oui,2024-01-01 00:00:00,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Fournitures,Éclairage Public - Commande centralisée et télégestion - Equipements armoires - Fourniture et installation  /  +ieurs Lots,Entre 1 M€ et 3 M€,Non,Oui,2025-06-01 00:00:00,scp-commandepublique@rennesmetropole.fr
Centre Communal d'Action Sociale de la Ville de Rennes,Bâtiment,Travaux,Remplacement du câblage courant faible dans 5 EHPAD et 1 résidence autonomie,Entre 90 K€ et 500 K€,Non,Non,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Centre Communal d'Action Sociale de la Ville de Rennes,"Management et organisation, évaluation des politiques publiques",Services,Analyse de pratique professionnelle de la Direction Solidarité Santé - Lot 1 : management,Entre 90 K€ et 500 K€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Centre Communal d'Action Sociale de la Ville de Rennes,"Energie, fluides",Services,Mise à disposition de groupes électrogènes pour la séc urisation de l'alimentation électrique des 6 EHPAD,Entre 90 K€ et 500 K€,Non,Non,2ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Centre Communal d'Action Sociale de la Ville de Rennes,Bâtiment,Services,Nettoyage Espace Social Commun de Villejean,Entre 40 K€ et 90 K€,Non,Structures du handicap,1er trimestre 2025,scp-commandepublique@rennesmetropole.fr
Centre Communal d'Action Sociale de la Ville de Rennes,Bâtiment,Prestations Intellectuelles,Etude de faisabilité du déploiement de la WiFi dans mes 6 EHPAD et la résidence autonomie,Entre 40 K€ et 90 K€,Non,Non,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Communication et impression,Services,Partenariat sportif avec le REC Rugby pour les matchs de l'équipe première masculine saison 2024-2025,Entre 40 K€ et 90 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Communication et impression,Services,Partenariat sportif avec l'Avenir Rennes basket pour les matchs de l'équipe première féminine saison 2024-2025,<40 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Communication et impression,Services,Abonnements bases de données relations publiques,<40 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Informatique et télécommunications, audio-video",Services,Hébergement site internet metropole.rennes.fr,Entre 40 K€ et 90 K€,,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Alimentation, restauration",Fournitures,Prestations de traiteurs pour les réceptions et cérémonies,Entre 500 K€ et 1 M€,Oui,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Communication et impression,Services,Partenariat sportif avec le Stade Rennais Football Club pour les matchs de l'équipe première masculine saison 2025-2026,Entre 90 K€ et 215 K€,,,2ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Communication et impression,Services,Partenariat sportif avec le REC Rugby pour les matchs de l'équipe première masculine saison 2025-2026,Entre 40 K€ et 90 K€,,,2ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Déchets, propreté",Services,Distribution des calendriers de collectes des déchets en boîtes-aux-lettres,Entre 40 K€ et 90 K€,Non,Non,1er trimestre 2026,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Déchets, propreté",Services,Nettoyage des colonnes d'apport volontaire,Entre 1 M€ et 3 M€,Oui,E.S.S.,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Déchets, propreté",Fournitures,Fourniture de conteneurs aériens,Entre 500 K€ et 1 M€,Non,Non,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Déchets, propreté",Services,"collecte des cartons, cagettes et papers des producteurs nons ménagers sur le territoire de Rennes Métropole",> 10 M€,Oui,S.I.A.E,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Prestations Intellectuelles,RCU Le Rheu : Contrôle des soudures,Entre 40 K€ et 90 K€,Non,Non,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,RCU Vezin-Le-Coquet : Extension sur le secteur 4 de la ZAC - Création du réseau,Entre 90 K€ et 500 K€,Oui,Non,4ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Travaux,RCU Vezin-Le-Coquet : Extension sur le secteur 4 de la ZAC - Création des sous-stations,Entre 90 K€ et 500 K€,Non,Non,1er trimestre 2026,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Bâtiment,Travaux,Déchèterie de St Armel - Construction d'un local réemploi et mise en place de auvent avec Panneaux Photovoltaïques (PPV),Entre 500 K€ et 1 M€,Non,Non,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Bâtiment,Travaux,Déchèterie de Betton - Construction d'un local réemploi et mise en place de auvent avec Panneaux Photovoltaïques (PPV),Entre 500 K€ et 1 M€,Non,Non,1er trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Déchets, propreté",Prestations Intellectuelles,Expérimentations et études complémentaires relatives au Schéma déchèteries,Entre 40 K€ et 90 K€,Non,Non,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Déchets, propreté",Services,"Broyage, évacuation et valorisation des végétaux des déchèteries et plateformes de RM - Lot n° 3 : Réception et valorisation des végétaux collectés en caissons",Entre 500 K€ et 1 M€,Non,Non,4ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Informatique et télécommunications, audio-video",Services,Règlement des repas des restaurants administratifs,Entre 40 K€ et 90 K€,,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Informatique et télécommunications, audio-video",Services,Maintenance  des installations de téléphonie sur IP,Entre 500 K€ et 1 M€,,,1er trimestre 2026,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Informatique et télécommunications, audio-video",Services,Prestations d'Assistance à Maîtrise d'OEuvre Informatique et Système d'Information géographique,> 10 M€,,,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
